Organization CRD#,Primary Business Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Postal Code,Main Office Telephone Number,World Wide Web Site Address,Discretionary AUM,Discretionary accounts,Average discretionary account AUM,Non-discretionary AUM,Non-discretionary accounts,Average non-discretionary account AUM,Total AUM,Total accounts,Average total account AUM
143733,Bigelow Investment Advisors LLC,4 Moulton St.,,Portland,ME,4101,(207) 772-2900,bigelowadvisors.com,"$94,406,855 ",237,"$398,341 ","$13,301,256 ",4,"$3,325,314 ","$107,708,111 ",241,"$446,922 "
136745,Biltmore Wealth Advisers LLC,2701 E. Camelback Road,#170,Phoenix,AZ,85016,(602) 273-7733,,$0 ,0,,$0 ,0,,$0 ,0,
110496,Bingham Osborn & Scarborough LLC,"345 California St., Suite 1100",,San Francisco,CA,94104,(415) 781-8535,bosinvest.com,"$1,767,551,000 ","2,661","$664,243 ","$369,421,500 ",636,"$580,851 ","$2,136,972,500 ","3,297","$648,157 "
109088,Bitterroot Capital Advisors LLC,118 East Main St.,,Bozeman,MT,59715,(406) 556-8200,bitterrootcapital.com,"$82,409,033 ",38,"$2,168,659 ","$602,657,231 ",140,"$4,304,695 ","$685,066,264 ",178,"$3,848,687 "
104795,Blankinship & Foster LLC,420 Stevens Ave.,Suite 250,Solana Beach,CA,92075,(858) 755-5166,bfadvisors.com,"$324,000,000 ",927,"$349,515 ",$0 ,0,,"$324,000,000 ",927,"$349,515 "
132124,Bleeck Financial Management Inc.,533 Airport Blvd.,Suite 400,Burlingame,CA,94010,(650) 685-2425,bleeckfinancial.com,"$53,596,799 ",32,"$1,674,900 ",$0 ,0,,"$53,596,799 ",32,"$1,674,900 "
106152,Bloom Asset Management Inc.,31275 Northwestern Hwy,Suite 145,Farmington Hills,MI,48334,(248) 932-5200,bloomassetmanagement.com,"$733,270,041 ","4,000","$183,318 ",$0 ,0,,"$733,270,041 ","4,000","$183,318 "
111058,Blue Chip Money Management LLC,14 Vervalen St.,,Closter,NJ,7624,(201) 768-2300,buddscot@bellatlantic.net,$0 ,0,,"$37,491,527 ",246,"$152,405 ","$37,491,527 ",246,"$152,405 "
151546,Blue Ocean Portfolios LLC,16020 Swingley Ridge,Suite 360,Chesterfield,MO,63017,(636) 530-9393,blueoceanportfolios.com,"$71,200,000 ",315,"$226,032 ",$0 ,0,,"$71,200,000 ",315,"$226,032 "
112777,Blue Ocean Strategic Capital LLC,443 North Franklin St.,Suite 220,Syracuse,NY,13204,(315) 471-2672,boscllc.com,"$113,000,000 ",432,"$261,574 ","$23,600,000 ",102,"$231,373 ","$136,600,000 ",534,"$255,805 "
114471,Blue Rock Advisors LLC,524 North Trade St.,,Winston Salem,NC,27101,(336) 723-1220,mybluerockadvisors.com,$0 ,0,,"$131,586,180 ",394,"$333,975 ","$131,586,180 ",394,"$333,975 "
148933,Blue Water Capital Advisors LLC,1314 E. Superior St.,,Duluth,MN,55805,(218) 464-4399,bluewatercapitaladvisors.com,"$41,980,623 ",310,"$135,421 ",$0 ,0,,"$41,980,623 ",310,"$135,421 "
143414,Blue Water Capital Management LLC,1001 James St.,,Syracuse,NY,13203,(315) 438-8690,bluewatercm.com,"$108,877,927 ",725,"$150,176 ","$5,542,325 ",51,"$108,673 ","$114,420,252 ",776,"$147,449 "
149168,Bluemont Capital Advisors LLC,2112A Gallows Road,,Vienna,VA,22182,(703) 657-7610,bluemontcapital.com,"$103,112,319 ",103,"$1,001,090 ","$56,077,235 ",109,"$514,470 ","$159,189,554 ",212,"$750,894 "
122460,Bluestone Wealth Advisors Inc.,538 Valley Brook Road,Suite 100,Venetia,PA,15367,(724) 941-8625,blustonewa.com,"$16,856,509 ",72,"$234,118 ","$44,476,646 ",95,"$468,175 ","$61,333,155 ",167,"$367,264 "
111768,Blume Capital Management Inc.,1708 Shattuck Ave.,,Berkeley,CA,94709,(510) 549-3534,blumecapital.com,"$177,279,137 ",509,"$348,289 ",$0 ,0,,"$177,279,137 ",509,"$348,289 "
134738,Bms Financial Advisors LLC,1508 Mountain View Road,Suite 101,Rapid City,SD,57702,(605) 341-1555,bmsadvisors.com,"$63,355,056 ",639,"$99,147 ","$2,956,828 ",44,"$67,201 ","$66,311,884 ",683,"$97,089 "
116557,Bogdanovich Wealth Management PLLC,100 - 2Nd Ave S,Suite 310,Edmonds,WA,98020,(206) 522-4478,jbogdanovich.com,"$93,093,246 ",141,"$660,236 ",$0 ,0,,"$93,093,246 ",141,"$660,236 "
128441,Bolen Dodson & Associates,7003 Chadwick Dr,Suite 350,Brentwood,TN,37027,(615) 242-3808,bolendodson.com,"$60,669,779 ",290,"$209,206 ","$976,945 ",13,"$75,150 ","$61,646,724 ",303,"$203,455 "
132804,Bontempo Ohly Capital Management LLC,7501 Wisconsin Ave,Suite 1340,Bethesda,MD,20814,(240) 497-1300,,"$147,500,000 ",480,"$307,292 ",$0 ,0,,"$147,500,000 ",480,"$307,292 "
139236,Bonwell Capital Management LLC,5700 West Grace St.,Suite 107,Richmond,VA,23226,(804) 285-1546,,"$59,803,076 ",257,"$232,697 ","$3,688,379 ",84,"$43,909 ","$63,491,455 ",341,"$186,192 "
141306,Boston Hill Advisors LLC,100 Andover Bypass St.,Suite 201,North Andover,MA,1845,(978) 686-5687,bostonhilladvisors.com,"$252,865,288 ","1,340","$188,705 ","$4,273,503 ",67,"$63,784 ","$257,138,791 ","1,407","$182,757 "
107643,Boston Research And Management Inc.,40 Beach St.,Suite 200,Manchester,MA,1944,(978) 526-9700,bostonrm.com,"$199,606,166 ",324,"$616,068 ",$0 ,0,,"$199,606,166 ",324,"$616,068 "
116572,Boston Retirement AdvisorsLLC,85 Stiles Road,Suite 202,Salem,NH,3079,(603) 896-6400,investwithpaul.com,"$53,900,000 ",510,"$105,686 ",$0 ,0,,"$53,900,000 ",510,"$105,686 "
156452,Boston Standard Wealth Management LLC,31 Church St. #3,,Winchester,MA,1890,(781) 721-0072,bostonstandardwealth.com,"$60,795,000 ",972,"$62,546 ",$0 ,0,,"$60,795,000 ",972,"$62,546 "
151807,Botty Investors LLC,444 N. Michigan Ave.,Suite 3500,Chicago,IL,60611,(312) 245-2915,,"$351,256,000 ",111,"$3,164,468 ","$57,225,000 ",30,"$1,907,500 ","$408,481,000 ",141,"$2,897,028 "
147809,Boulder Investment Group,7400 West 135th St.,Suite 200,Overland Park,KS,66223,(913) 944-4600,boulderkc.com,"$60,895,430 ",572,"$106,461 ",$0 ,0,,"$60,895,430 ",572,"$106,461 "
111114,Bourne Stenstrom Lent Asset Management Inc.,3 Memorial Ave.,2nd Floor Suite 1,Pawling,NY,12564,(845) 855-1590,bslami.com,"$143,951,980 ",124,"$1,160,903 ","$903,310 ",1,"$903,310 ","$144,855,290 ",125,"$1,158,842 "
116714,Bowen Financial Services LLC,2840 Polo Parkway,,Midlothian,VA,23113,(804) 897-2850,bowenfinancial.com,"$41,348,967 ",50,"$826,979 ","$499,172 ",1,"$499,172 ","$41,848,139 ",51,"$820,552 "
104840,Boys Arnold & Co. Inc.,1272 Hendersonville Rd.,,Asheville,NC,28803,(828) 274-1542,boysarnold.com,"$792,500,000 ",863,"$918,308 ","$34,074,000 ",64,"$532,406 ","$826,574,000 ",927,"$891,666 "
151588,Bpv Capital Management LLC,9202 South Northshore Drive,Suite 300,Knoxville,TN,37922,(865) 243-8000,bpvwealth.com,"$80,130,130 ",179,"$447,654 ","$13,265,979 ",19,"$698,209 ","$93,396,109 ",198,"$471,698 "
144903,Bradley & Co. LLC,201 Mission St.,Suite 2280,San Francisco,CA,94105,(415) 655-5500,bradleyandco.com,"$61,322,620 ",500,"$122,645 ",$0 ,0,,"$61,322,620 ",500,"$122,645 "
158007,Braeburn Wealth Management LLC,3597 Henry St.,Suite 202,Norton Shores,MI,49441,(231) 720-0743,braeburnwealth.com,"$72,006,554 ",548,"$131,399 ",$0 ,0,,"$72,006,554 ",548,"$131,399 "
104747,Braver Wealth Management LLC,117 Kendrick St.,Suite 800,Needham,MA,2494,(617) 969-0223,thebravergroup.com,"$529,336,631 ",395,"$1,340,093 ","$61,406,038 ",40,"$1,535,151 ","$590,742,669 ",435,"$1,358,029 "
150841,Breakwater Investment Management,1001 Fourth Ave,# 4050,Seattle,WA,98154,(206) 624-9000,breakwaterinvestment.com,"$70,653,736 ",292,"$241,965 ","$666,413 ",3,"$222,138 ","$71,320,149 ",295,"$241,763 "
126266,Brent Forrest & Associates LLC,4077 De Zavala,Ste 2,San Antonio,TX,78249,(210) 530-9599,brentforrest.com,"$152,500,000 ",711,"$214,487 ",$0 ,0,,"$152,500,000 ",711,"$214,487 "
111191,Brentwood Advisory Group LLC,11812 San Vicente Blvd,Suite 200,Los Angeles,CA,90049,(310) 826-2261,brentwoodadvisorygroup.com,"$79,952,447 ",273,"$292,866 ",$0 ,0,,"$79,952,447 ",273,"$292,866 "
105606,Breton Co,105 Atsion Road Stes B&D,,Medford,NJ,8055,(609) 654-1212,bretonfinancial.net,$0 ,0,,"$118,637,897 ",50,"$2,372,758 ","$118,637,897 ",50,"$2,372,758 "
113618,Brett R. Smith Cpa Wealth Management LLC,1225 Cimarron Drive,Suite 202,Lafayette,CO,80026,(303) 604-0505,brettrsmithassoc.com,"$40,300,000 ",72,"$559,722 ",$0 ,0,,"$40,300,000 ",72,"$559,722 "
105638,Briaud Financial Advisors,1611 Crescent Pointe Parkway,,College Station,TX,77845,(979) 260-9771,briaud.com,"$477,113,759 ","1,777","$268,494 ","$7,517,502 ",60,"$125,292 ","$484,631,261 ","1,837","$263,817 "
107600,Brick Capital Management Inc.,"1400 Abbott Road, Ste 105",,East Lansing,MI,48823,(517) 332-7700,brickinc.com,$0 ,0,,"$1,478,000,000 ",32,"$46,187,500 ","$1,478,000,000 ",32,"$46,187,500 "
132519,Bridgecreek Investment Management LLC,Southern Hills Tower,"2431 E. 61St St., Suite 315",Tulsa,OK,74136,(918) 392-1990,bridgecreekinvestment.com,"$470,000,000 ",62,"$7,580,645 ",$0 ,0,,"$470,000,000 ",62,"$7,580,645 "
125518,Briggs Wealth Management LLC,59 Sycamore St.,,Glastonbury,CT,6033,(860) 633-8988,briggswealthmgmt.com,"$59,669,500 ",339,"$176,016 ","$30,897,234 ",112,"$275,868 ","$90,566,734 ",451,"$200,813 "
140972,Bright Asset Management,70 Essex Rd.,,Westbrook,CT,6498,(860) 399-2886,brightassetmanagement.com,$0 ,0,,"$41,114,431 ",44,"$934,419 ","$41,114,431 ",44,"$934,419 "
153112,Brighton Financial Planning,1728 Rt 31,,Clinton,NJ,8809,(908) 730-7000,brightonfinancial.com,"$49,909,658 ",148,"$337,227 ","$3,163,002 ",86,"$36,779 ","$53,072,660 ",234,"$226,806 "
108601,Brighton Jones LLC,506 2Nd Ave,Suite 1800,Seattle,WA,98104,(206) 329-5546,brightonjones.com,"$1,540,000,000 ",654,"$2,354,740 ","$64,000,000 ",2,"$32,000,000 ","$1,604,000,000 ",656,"$2,445,122 "
109569,Brightworth LLC,"3280 Peachtree Road, Ne",Suite 2075,Atlanta,GA,30305,(404) 760-9000,brightworth.org,"$788,053,700 ","1,042","$756,290 ",$0 ,0,,"$788,053,700 ","1,042","$756,290 "
104846,Brinton Eaton,"One Giralda Farms, Suite 130",,Madison,NJ,7940,(973) 984-3352,brintoneaton.com,"$609,733,608 ",884,"$689,744 ",$0 ,0,,"$609,733,608 ",884,"$689,744 "
133623,Brogan Financial Inc.,8351 E Walker Springs Lane,Suite 101,Knoxville,TN,37923,(865) 862-6800,broganfinancial.com/,"$92,750,000 ",427,"$217,213 ","$8,800,000 ",43,"$204,651 ","$101,550,000 ",470,"$216,064 "
125623,Bromfield Financial Advisory Group Inc.,10 Rogers St.,Unit 102,Cambridge,MA,2142,(617) 252-3400,bromfieldfinancial.com,"$166,821,870 ",260,"$641,623 ",$0 ,0,,"$166,821,870 ",260,"$641,623 "
113370,Brookfield Investment Partners LLC,330 South Executive Drive,Suite 307,Brookfield,WI,53005,(262) 785-6751,brookfieldinvestmentpartners.com,"$258,554,129 ",42,"$6,156,051 ","$11,623,024 ",1,"$11,623,024 ","$270,177,153 ",43,"$6,283,190 "
112595,Brotherton Investment Consultants LLC,8658 E. San Alberto Drive,,Scottsdale,AZ,85258,(480) 609-3080,brothertoninvestments.com,"$151,755,926 ",641,"$236,749 ",$0 ,0,,"$151,755,926 ",641,"$236,749 "
105844,Brown Armstrong Financial Services Inc.,2177 Sw Main St,,Portland,OR,97205,(503) 221-1776,,"$39,721,923 ",14,"$2,837,280 ",$0 ,0,,"$39,721,923 ",14,"$2,837,280 "
109004,Bryspen Inc.,7 Piedmont Center,Suite 300,Atlanta,GA,30305,(404) 233-1534,bryspen.com,$0 ,0,,"$94,076,509 ",291,"$323,287 ","$94,076,509 ",291,"$323,287 "
107485,Bsw Wealth Partners,2336 Pearl St.,,Boulder,CO,80302,(303) 444-9696,bsw.com,"$665,000,000 ","1,837","$362,003 ","$10,000,000 ",106,"$94,340 ","$675,000,000 ","1,943","$347,401 "
143208,Buckhead Investment Partners LLC,3575 Piedmont Rd.,"Bldg 15, Suite 730",Atlanta,GA,30305,(404) 495-5230,buckheadinvestmentpartners.com,"$235,000,000 ",232,"$1,012,931 ","$22,500,000 ",121,"$185,950 ","$257,500,000 ",353,"$729,462 "
108256,Budge Financial Inc.,4925 Greenville Ave,Ste 1220,Dallas,TX,75206,(214) 692-7745,budgefinancial.com,$0 ,0,,"$117,806,485 ",11,"$10,709,680 ","$117,806,485 ",11,"$10,709,680 "
106536,Budros Ruhlin & Roe Inc.,"1801 Watermark Drive, Suite 300",,Columbus,OH,43215,(614) 481-6900,b-r-r.com,"$1,500,942,214 ","5,366","$279,713 ","$39,149,839 ",122,"$320,900 ","$1,540,092,053 ","5,488","$280,629 "
109361,Buffington Mohr Mcneal,"802 West Bannock St., Ste 100",,Boise,ID,83702,(208) 338-5551,bmmria.com,"$267,928,867 ",838,"$319,724 ",$0 ,0,,"$267,928,867 ",838,"$319,724 "
105341,Bullard Mcleod & Associates Inc.,"194 Washington Ave., Suite 520",,Albany,NY,12210,(518) 694-8400,bma-inc.net,"$124,045,001 ",536,"$231,427 ",$0 ,0,,"$124,045,001 ",536,"$231,427 "
108824,Bunting Capital Management Inc.,"5700 Cleveland St., Suite 329",,Virginia Beach,VA,23462,(757) 456-2200,buntingcapital.com,"$51,500,000 ",550,"$93,636 ",$0 ,0,,"$51,500,000 ",550,"$93,636 "
140168,Burkett Financial Services LLC,128 East Main St.,Suite 201,Rock Hill,SC,29730,(803) 980-3232,burkettfs.com,"$129,469,794 ",229,"$565,370 ",$0 ,0,,"$129,469,794 ",229,"$565,370 "
130406,Burns Financial Management Inc.,"1208 U. S. Highway 1, Suite A",,North Palm Beach,FL,33408,(561) 624-3210,burnsfin.com,"$50,050,884 ",213,"$234,981 ",$0 ,0,,"$50,050,884 ",213,"$234,981 "
118315,Burns Matteson Capital Management,42 E. Market St.,,Corning,NY,14830,(607) 937-9282,burnsmatteson.com,"$162,135,150 ",861,"$188,310 ","$514,561 ",8,"$64,320 ","$162,649,711 ",869,"$187,169 "
141975,Burr & Co. LLC,872 Main St.,,Osterville,MA,2655,(508) 428-1677,burrandco.com,$0 ,0,,"$25,861,267 ",25,"$1,034,451 ","$25,861,267 ",25,"$1,034,451 "
147444,Burros Wealth Management LLC,7900 E. Union Ave.,Suite 1100,Denver,CO,80237,(303) 717-2930,burroswealth.com,"$27,473,485 ",155,"$177,248 ",$0 ,0,,"$27,473,485 ",155,"$177,248 "
105211,Burt Wealth Advisors,6010 Executive Blvd,Suite 900,Rockville,MD,20852,(301) 770-9880,burtwealthadvisors.com,"$373,844,879 ",841,"$444,524 ",$0 ,0,,"$373,844,879 ",841,"$444,524 "
110295,Butensky & Cohen Financial Security Inc.,the Butensky & Cohen Building,110 Professional Drive Suite 101,Ponte Vedra Beach,FL,32082,(904) 273-9850,butenskycohen.com,"$156,002,333 ",629,"$248,016 ",$0 ,0,,"$156,002,333 ",629,"$248,016 "
118244,Butler Financial Services,1113 Spruce St,Suite 404 C,Boulder,CO,80302,(303) 444-3380,butler-financial.org,"$75,909,225 ",220,"$345,042 ","$10,774,719 ",8,"$1,346,840 ","$86,683,944 ",228,"$380,193 "
141893,Byron Financial LLC,6100 Fairview Road,Suite 1150,Charlotte,NC,28210,(704) 442-4402,byronfin.com,$0 ,0,,"$112,967,896 ",220,"$513,490 ","$112,967,896 ",220,"$513,490 "
110612,Bysko John A Associates,100 Halls Road,,Old Lyme,CT,6371,(860) 434-3632,,"$85,205,731 ",209,"$407,683 ",$0 ,0,,"$85,205,731 ",209,"$407,683 "
106752,C & C Financial Services Inc.,175 Great Neck Rd.,Suite 405,Great Neck,NY,11021,(516) 482-3260,,"$64,450,642 ",43,"$1,498,852 ","$4,022,180 ",1,"$4,022,180 ","$68,472,822 ",44,"$1,556,201 "
125646,C.W. O'Conner & Associates Inc.,7074 Peachtree Industrial Blvd.,Suite 100,Norcross,GA,30071,(770) 368-9919,cwoconner.com,"$43,228,397 ",392,"$110,277 ","$87,111,218 ",27,"$3,226,341 ","$130,339,615 ",419,"$311,073 "
142430,C5 Wealth Management LLC,746 Walker Road,Suite 26,Great Falls,VA,22066,(703) 759-7007,c5wm.com,"$196,085,709 ","1,187","$165,194 ",$0 ,0,,"$196,085,709 ","1,187","$165,194 "
107327,Cabot Money Management Inc.,216 Essex St.,,Salem,MA,1970,(978) 745-9233,ecabot.com,"$476,676,000 ","1,511","$315,471 ",$0 ,0,,"$476,676,000 ","1,511","$315,471 "
107916,Cabot-Wellington LLC,70 Federal St.,,Boston,MA,2110,(617) 451-1744,cabwel.com,"$524,762,571 ",175,"$2,998,643 ","$797,328 ",5,"$159,466 ","$525,559,899 ",180,"$2,919,777 "
151675,Cahaba Wealth Management Inc.,999 Peachtree St.,Suite 790,Atlanta,GA,30309,(404) 549-7678,cahabawealth.com,"$102,765,740 ",315,"$326,240 ",$0 ,0,,"$102,765,740 ",315,"$326,240 "
109890,Cahill Financial Advisors Inc.,7300 Metro Blvd.,Suite 625,Edina,MN,55439,(952) 926-1659,cahillfa.com,"$61,292,632 ",124,"$494,295 ","$142,280,085 ",202,"$704,357 ","$203,572,717 ",326,"$624,456 "
134508,Cahill Wealth Management LLC,6101 Newport Road,Suite 207,Protage,MI,49002,(269) 321-6600,cahillwealth.com,"$109,909,014 ",613,"$179,297 ",$0 ,0,,"$109,909,014 ",613,"$179,297 "
143601,Cairn Investment Group,121 Sw Morrison,Suite 1060,Portland,OR,97204,(503) 241-4901,cairninvestment.com,"$67,319,000 ",340,"$197,997 ","$65,570,000 ",134,"$489,328 ","$132,889,000 ",474,"$280,357 "
143973,Calder Investment Advisors,96 Monroe Center Nw Suite 305,,Grand Rapids,MI,49503,(616) 235-2442,calderadvisors.com,"$193,637,833 ",715,"$270,822 ","$10,100,178 ",83,"$121,689 ","$203,738,011 ",798,"$255,311 "
149649,Caledonia Wealth Management Ltd.,1260 Yellow Pine Ave.,,Boulder,CO,80304,(720) 239-1260,caledoniawealth.com,"$21,835,243 ",106,"$205,993 ","$1,432,537 ",21,"$68,216 ","$23,267,780 ",127,"$183,211 "
110568,Callahan Capital Management,1169 Hilltop Pkwy,106A,Steamboat Springs,CO,80487,(970) 870-8750,callahancapital.com,"$78,124,705 ",867,"$90,109 ","$91,000 ",2,"$45,500 ","$78,215,705 ",869,"$90,007 "
142527,Callan Capital LLC,1250 Prospect St.,Suite 1,La Jolla,CA,92037,(858) 551-3800,callancapital.com,"$292,294,016 ",569,"$513,698 ",$0 ,0,,"$292,294,016 ",569,"$513,698 "
115639,Calvert Financial Advisory Inc.,3175 West Ward Road,Suite 120,Dunkirk,MD,20754,(301) 812-1550,calvertfinancialadvisory.com,"$91,185,352 ","1,243","$73,359 ","$7,411,085 ",15,"$494,072 ","$98,596,437 ","1,258","$78,376 "
135656,Calvert Investment Counsel,20 Wight Ave.,Suite 155,Hunt Valley,MD,21030,(410) 435-3270,calvertinvestmentcounsel.com,"$253,422,698 ",408,"$621,134 ","$38,122,097 ",76,"$501,607 ","$291,544,795 ",484,"$602,365 "
111889,Cambridge Advisors,808 Moorefield Park Drive,Suite 118,Richmond,VA,23236,(804) 330-5600,cambradv.com,"$44,982,740 ",180,"$249,904 ",$0 ,0,,"$44,982,740 ",180,"$249,904 "
104851,Cambridge Advisors Inc.,"17330 Wright St., Suite 205",,Omaha,NE,68130,(402) 697-1166,cambridgeadvisors.net,"$190,814,117 ",627,"$304,329 ","$11,877,961 ",156,"$76,141 ","$202,692,078 ",783,"$258,866 "
106003,Cambridge Associates Ltd LLC,100 Summer St.,,Boston,MA,2110,(617) 457-7500,cambridgeassociates.com,$0 ,0,,$0 ,0,,$0 ,0,
110932,Cambridge Capital Management LLC,852 Cambridge Blvd.,Suite 100,O'Fallon,IL,62269,(618) 206-3262,cambridgecapitalmgt.com,"$63,798,631 ",514,"$124,122 ","$1,760,990 ",35,"$50,314 ","$65,559,621 ",549,"$119,416 "
116798,Cambridge Wealth Management Inc.,5080 N. 40th St.,Suite 455,Phoenix,AZ,85018,(602) 277-0611,cambridgewealthmanagement.com,"$51,790,960 ",434,"$119,334 ",$0 ,0,,"$51,790,960 ",434,"$119,334 "
111938,Camden Financial Management Inc.,7337 E. Doubletree Ranch Road,Ste. 282,Scottsdale,AZ,85258,(480) 998-7786,,"$134,209,155 ",242,"$554,583 ",$0 ,0,,"$134,209,155 ",242,"$554,583 "
128053,Camelotta Advisors,665 Third St.,Suite #511,San Francisco,CA,94107,(415) 806-3641,divorceanalysis.com,"$41,137,692 ",79,"$520,730 ",$0 ,0,,"$41,137,692 ",79,"$520,730 "
125052,Campbell Asset Management LLC,301 Forest Ave.,,Chattanooga,TN,37405,(423) 265-7931,campbellportfolios.com,"$80,000,000 ",387,"$206,718 ","$21,000,000 ",13,"$1,615,385 ","$101,000,000 ",400,"$252,500 "
152956,Campbell Wealth Management Inc.,700 South Washington St.,Suite 220,Alexandria,VA,22314,(703) 535-5300,campbellwealth.com,"$106,175,268 ",455,"$233,352 ",$0 ,0,,"$106,175,268 ",455,"$233,352 "
134002,Campion Asset Management LLC,1934 Old Gallows Road,Suite 402,Vienna,VA,22182,(703) 848-0344,campionam.com,"$72,065,000 ",190,"$379,289 ","$18,021,000 ",12,"$1,501,750 ","$90,086,000 ",202,"$445,970 "
154769,Cana Financial Advisors,7914 North Shadeland Ave.,Suite 250,Indianapolis,IN,46250,(317) 578-0041,canafinancial.com,"$38,977,306 ",104,"$374,782 ","$3,664,211 ",10,"$366,421 ","$42,641,517 ",114,"$374,048 "
147557,Candor Wealth Advisors LLC,129 Summit Ave.,,Summit,NJ,7901,(908) 277-1300,candorwealth.com,"$153,207,755 ",335,"$457,337 ",$0 ,0,,"$153,207,755 ",335,"$457,337 "
140959,Cannon Beach Consultants Inc.,12647 Alcosta Blvd.,Suite 428,San Ramon,CA,94583,(888) 839-9399,cannonbeachco.com,"$71,410,806 ",609,"$117,259 ","$35,485,609 ",172,"$206,312 ","$106,896,415 ",781,"$136,871 "
125680,Canterbury Investment Management LLC,23 E Cedar St,,Zionsville,IN,46077,(317) 732-2075,canterburygroup.com,"$114,000,000 ",230,"$495,652 ","$8,000,000 ",90,"$88,889 ","$122,000,000 ",320,"$381,250 "
118945,Canty Financial Management Inc.,20 Church Ave.,,Ballston Spa,NY,12020,(518) 885-3230,cantyfinancial.com,"$46,665,325 ",731,"$63,838 ",$0 ,0,,"$46,665,325 ",731,"$63,838 "
106610,Capelli Financial Services Inc.,"40950 Woodward Ave., Suite 140",,Bloomfield Hills,MI,48304,(248) 594-9282,capellifs.com,"$268,894,016 ",686,"$391,974 ","$6,727,882 ",65,"$103,506 ","$275,621,898 ",751,"$367,007 "
108985,Capital Advantage Inc.,"3708 Mount Diablo Blvd.,",Suite 200,Lafayette,CA,94549,(925) 299-1500,capitaladvantage.com,"$355,000,000 ",420,"$845,238 ",$0 ,0,,"$355,000,000 ",420,"$845,238 "
120597,Capital Asset Management Inc.,"445 Hutchinson Ave., Suite 270",,Columbus,OH,43235,(614) 515-5510,capitalassetmgmt.com,"$46,725,924 ",166,"$281,481 ","$6,223,298 ",3,"$2,074,433 ","$52,949,222 ",169,"$313,309 "
151838,Capital Design Associates Inc.,619 Halton Road,Bldg. 1A,Greenville,SC,29607,(864) 235-1428,capitaldesignassociates.com,$0 ,0,,"$150,165,346 ",836,"$179,624 ","$150,165,346 ",836,"$179,624 "
109762,Capital Directions LLC,400 Northridge Road,Suite 220,Atlanta,GA,30350,(404) 237-8881,capdir.com,"$628,000,000 ",596,"$1,053,691 ","$235,000,000 ",95,"$2,473,684 ","$863,000,000 ",691,"$1,248,915 "
153075,Capital Fiduciary Advisors LLC,1800 Robert Fulton Drive,Suite 110,Reston,VA,20191,(703) 871-2100,capitalfiduciaryadvisors.com,"$3,395,412 ",4,"$848,853 ","$117,000,070 ",46,"$2,543,480 ","$120,395,482 ",50,"$2,407,910 "
125689,Capital Financial Advisors Of New York LLC,7 Corporate Drive,,Clifton Park,NY,12065,(518) 280-0030,cfany.com,"$64,500,000 ",218,"$295,872 ",$0 ,0,,"$64,500,000 ",218,"$295,872 "
111709,Capital Financial Group Inc.,1660 Wynkoop St. Suite 1155,,Denver,CO,80202,(303) 629-7500,raymondjames.com/cfg,"$32,606,730 ",88,"$370,531 ","$2,099,876 ",13,"$161,529 ","$34,706,606 ",101,"$343,630 "
107960,Capital Financial Services LLC,133 Saratoga Rd.,Professional Bldg,Glenville,NY,12302,(518) 399-3903,,"$62,587,090 ",421,"$148,663 ",$0 ,0,,"$62,587,090 ",421,"$148,663 "
147165,Capital Insight Partners LLC,7328 East Deer Valley Road,Suite 105,Scottsdale,AZ,85255,(480) 295-7070,capitalinsightpartners.com,"$71,208,260 ",192,"$370,876 ","$19,035,829 ",26,"$732,147 ","$90,244,089 ",218,"$413,964 "
158055,Capital Investment Advisors LLC,200 Sandy Springs Place,Suite 300,Atlanta,GA,30328,(404) 531-0018,yourwealth.com,"$844,381,533 ","1,525","$553,693 ","$41,000,000 ",40,"$1,025,000 ","$885,381,533 ","1,565","$565,739 "
110447,Capital Management Advisors Inc.,Two Parkway Center,"1800 Parkway Pl Se, Ste 850",Marietta,GA,30067,(770) 422-4606,ccmcma.com,"$83,502,197 ",396,"$210,864 ","$12,874,317 ",36,"$357,620 ","$96,376,514 ",432,"$223,094 "
109898,Capital Management Group Inc.,3809 Illinois Ave.,Suite 200,St. Charles,IL,60174,(630) 587-0198,cmginconline.com,"$42,600,000 ",180,"$236,667 ","$2,220,000 ",47,"$47,234 ","$44,820,000 ",227,"$197,445 "
109416,Capital Management LLC,"628 Green Valley Road, Suite 204",,Greensboro,NC,27408,(336) 856-2911,capitalmgmtinc.com,"$103,903,383 ",271,"$383,407 ","$32,993,842 ",58,"$568,859 ","$136,897,225 ",329,"$416,101 "
105865,Capital Planning Advisory Group Inc.,708 Floral Vale Blvd,,Yardley,PA,19067,(215) 579-5760,cpaginc.com,"$110,000,000 ","1,040","$105,769 ","$2,000,000 ",5,"$400,000 ","$112,000,000 ","1,045","$107,177 "
105013,Capital Planning Corp,10900 Ne 4th St.,Suite 1030,Bellevue,WA,98004,(425) 643-1800,capitalplanningcorp.com,"$231,555,132 ","1,017","$227,684 ","$22,698,461 ",183,"$124,035 ","$254,253,593 ","1,200","$211,878 "
130762,Capital West Partners LLC,6842 E. Tanque Verde Road,Suite D,Tucson,AZ,85715,(520) 296-9803,capitalwestpartners.com,"$113,131,287 ",437,"$258,882 ","$9,912,770 ",74,"$133,956 ","$123,044,057 ",511,"$240,791 "
